Trial,RiskType,TimeType,RewardType,Reward,Shock,Offset,ITI,LeftKey,FixOnset,RiskOnset,RewardOnset,ResponseType,ResultOnset,ResponseOnset,ResponseTime,ResponseUncertainty,ShockOnset
71,3,2,3,0.76,1,1,9.625,0,1102.6960000000001,1112.3172,1112.8174,0,1115.8188,1114.5429,1.7255,0.0007001,
72,1,2,1,0.16,0,0,11.375,0,1117.5698,1128.9419,1129.442,1,1132.4436,1130.6538,1.2118,0.0007243,
73,3,3,2,0.39,1,1,9.625,0,1134.1944,1143.8211,1144.3208,0,1147.32,1145.7814,1.4606,0.00070597,
74,2,3,1,0.24,1,1,10.5,0,1149.0697,1159.5732,1160.0838,0,1163.0748,1161.749,1.6652,0.00070084,
75,2,3,3,0.86,0,0,11.375,0,1164.8256,1176.1976,1176.698,1,1179.6992,1178.5724,1.8744,0.0007111000000000001,
76,1,3,2,0.56,0,1,9.625,0,1181.4502,1191.0882,1191.5884,1,1194.5754,1192.4598,0.8713799999999999,0.00070377,
77,3,3,3,0.81,1,1,10.5,0,1196.3249,1206.8391,1207.339,0,1210.3306,1208.8108,1.4718,0.0007001,
78,2,3,3,0.94,0,1,10.5,0,1212.0814,1222.5865,1223.0868,1,1226.0844,1224.8583,1.7716,0.00070377,
79,2,3,2,0.51,1,0,11.375,1,1227.839,1239.2146,1239.7143,0,1242.7136,1240.8419,1.1276,0.0007044999999999999,
80,3,3,1,0.33,1,1,9.625,0,1244.4636,1254.0943,1254.5942,0,1257.5863,1255.7295,1.1353,0.00069644,
81,1,3,2,0.42,0,0,11.375,0,1259.343,1270.7093,1271.2097,1,1274.211,1272.1684,0.9587600000000001,0.00070744,
82,1,3,3,0.69,0,0,10.5,0,1275.9619,1286.4698,1286.9697,1,1289.9689,1288.1681,1.1985,0.00071183,
83,2,3,3,0.72,0,0,10.5,0,1291.7194,1302.2159,1302.7247,1,1305.7149,1304.3197,1.5949,0.0007023,
84,1,3,1,0.12,0,0,10.5,1,1307.4646,1317.9820000000002,1318.4787,1,1321.4669,1319.5985,1.1199,0.00070377,
85,3,3,2,0.55,1,0,10.5,1,1323.2274,1333.725,1334.2248,0,1337.2242,1335.3506,1.1257,0.00073749,
86,1,3,1,0.21,0,0,10.5,1,1338.9752,1349.4803,1349.9805,1,1352.9702,1351.3259,1.3453,0.0007111000000000001,
87,3,3,2,0.47,1,0,10.5,0,1354.7198,1365.2211,1365.7339,0,1368.7226,1367.0203,1.2864,0.0023026,
88,3,3,1,0.12,1,1,9.625,1,1370.4827,1380.1116,1380.6118,0,1383.5963,1381.9088,1.297,0.0007199,
89,2,3,1,0.17,1,1,10.5,1,1385.3473,1395.8599,1396.3598,0,1399.3589,1397.8603,1.5005,0.0007044999999999999,
90,1,3,2,0.64,0,0,11.375,0,1401.1086,1412.4892,1412.9891,1,1415.9786,1414.4671,1.4781,0.00069937,
91,1,3,1,0.05,0,0,10.5,0,1417.7378,1428.2354,1428.7352,0,1431.7359,1431.1067,2.3714,0.00072723,
92,1,3,3,0.85,0,1,9.625,0,1433.4869,1443.1151,1443.6149,1,1446.614,1445.0658,1.4509,0.00071257,
93,1,3,1,0.29,0,1,10.5,0,1448.3637,1458.8657,1459.366,1,1462.3672,1460.7698,1.4038,0.00071183,
94,1,3,3,0.77,1,0,11.375,0,1464.1182,1475.4905,1475.9905,1,1478.9918,1477.4007,1.4101,0.00076975,1480.2287
95,3,3,1,0.17,1,0,10.5,0,1480.7428,1491.2534,1491.7533,0,1494.7494,1492.9366,1.1833,0.00070817,
96,2,3,3,0.78,1,1,9.625,0,1496.5021,1506.1331,1506.6329999999998,1,1509.6229999999998,1508.3041,1.6711,0.00070524,1510.8586
97,2,3,2,0.43,1,1,10.5,0,1511.3818,1521.8793,1522.3793,1,1525.3783,1525.1192,2.7399,0.0007088999999999999,1526.6127
98,3,3,3,0.65,1,1,10.5,0,1527.1315,1537.6366,1538.142,0,1541.1244,1539.1901,1.0481,0.00070817,
99,3,3,3,0.73,0,0,11.375,1,1542.8741,1554.2612,1554.7614,0,1557.7539,1555.7577,0.9963200000000001,0.00070963,
100,2,3,1,0.3,0,0,10.5,1,1559.5136,1570.0187,1570.5189,0,1573.5036,1571.6214,1.1024,0.0007221,
101,1,3,3,0.9,0,0,10.5,0,1575.2663,1585.7638,1586.2637,1,1589.2627,1587.4049,1.1413,0.00070304,
102,3,3,1,0.26,1,1,9.625,1,1591.0125,1600.6435,1601.1502,0,1604.1426,1602.2278,1.0776,0.00070744,
103,1,3,2,0.48,0,1,10.5,1,1605.8922,1616.3908,1616.8909,1,1619.8923,1619.0998,2.2089,0.00070157,
104,2,3,1,0.08,0,0,11.375,0,1621.6431,1633.019,1633.5189,0,1636.5179,1635.2031,1.6842,0.00069791,
105,3,3,3,0.9,1,1,9.625,0,1638.2678,1647.9058,1648.406,0,1651.3977,1650.0904,1.6844,0.00070304,
106,2,3,2,0.6,1,1,10.5,1,1653.1474,1663.6466,1664.1467,0,1667.1481,1665.7457,1.599,0.00070377,
107,2,3,2,0.35,0,1,10.5,0,1668.899,1679.4077,1679.9076,0,1682.89,1681.273,1.3654,0.00071916,
108,3,3,2,0.6,1,1,10.5,1,1684.6565,1695.1616,1695.6619,0,1698.6529999999998,1696.7204,1.0585,0.00071183,
